guideId,description
2.2.6 Timeouts,"Users must be warned of any timeout that could result in data loss, unless the data is preserved for longer than 20 hours of user inactivity. "
2.3.1 Three Flashes or Below Threshold,No page content flashes more than 3 times per second unless that flashing content is sufficiently small and the flashes are of low contrast and do not contain too much red. (See general flash and red flash thresholds) 
2.3.2 Three Flashes,No page content flashes more than 3 times per second. 
2.3.3 Animation from Interactions,Users can disable non-essential animation and movement that is triggered by user interaction. 
2.4.1 Bypass Blocks,"A link is provided to skip navigation and other page elements that are repeated across web pages.While proper use of headings or regions/landmarks is sufficient to meet this success criterion, because keyboard navigation by headings or regions is not supported in most browsers, WebAIM recommends a ""skip"" link in addition to headings and regions. "
2.4.2 Page Titled,The web page has a descriptive and informative page title. 
2.4.3 Focus Order,"The navigation order of links, form controls, etc. is logical and intuitive. "
2.4.4 Link Purpose (In Context),"The purpose of each link (or image button or image map hotspot) can be determined from the link text alone, or from the link text and its context (e.g., surrounding text, list item, previous heading, or table headers).Links with the same text that go to different locations are readily distinguishable. "
2.4.5 Multiple Ways,"Multiple ways are available to find other web pages on the site - at least two of: a list of related pages, table of contents, site map, site search, or list of all available web pages. "
2.4.6 Headings and Labels,Page headings and labels for form and interactive controls are informative. Avoid duplicating heading and label text unless the structure provides adequate differentiation between them. 
2.4.7 Focus Visible,There is a visible indicator for page elements when they receive keyboard focus. 
2.4.8 Location,"If a web page is part of a sequence of pages or within a complex site structure, an indication of the current page location is provided, for example, through breadcrumbs or specifying the current step in a sequence (e.g., ""Step 2 of 5 - Shipping Address""). "
2.4.9 Link Purpose (Link Only),The purpose of each link (or image button or image map hotspot) can be determined from the link text alone.There are no links with the same text that go to different locations. 
2.4.10 Section Headings,"Beyond providing an overall document structure, individual sections of content are designated using headings, where appropriate. "
2.4.11 Focus Not Obscured (Minimum),"When elements have keyboard focus, they are not entirely covered or hidden by page content. "
2.4.12 Focus Not Obscured (Enhanced),"When elements have keyboard focus, they are entirely visible. "
2.4.13 Focus Appearance,"If a custom focus indicator or background color is in place, the focus indicator pixels must:have at least 3:1 contrast between focused/unfocused statesbe at least as large as the area of a 2 pixel thick perimeter surrounding the element. The formula (width × 4) + (height × 4) = focus indicator area can be used for rectangular components. "
2.5.1 Pointer Gestures,"If multipoint or path-based gestures (such as pinching, swiping, or dragging across the screen) are not essential to the functionality, then the functionality can also be performed with a single point activation (such as activating a button). "
2.5.2 Pointer Cancellation,"To help avoid inadvertent activation of controls, avoid non-essential down-event (e.g., onmousedown) activation when clicking, tapping, or long pressing the screen. For complex interactions (such as drag and drop), onmousedown can be used if an associated onmouseup (or similar) event can be aborted or reversed. "
2.5.3 Label in Name,"If an interface component (link, button, etc.) presents text (or images of text), the accessible name (label, alternative text, aria-label, etc.) for that component must include the visible text. "
2.5.4 Motion Actuation,Functionality that is triggered by moving the device (such as shaking or panning a mobile device) or by user movement (such as waving to a camera) can be disabled and equivalent functionality is provided via standard controls like buttons. 
2.5.5 Target Size,"Clickable targets are at least 44 by 44 pixels in size unless an alternative target of that size is provided, the target is inline (such as a link within a sentence), the target is not author-modified (such as a default checkbox), or the small target size is essential to the functionality. "
2.5.6 Concurrent Input Mechanisms,"Content does not require a specific input type, such as touch-only or keyboard-only, but must support alternative inputs (such as using a keyboard on a mobile device). "
2.5.7 Dragging Movements,Functionality that uses pointer dragging can also be achieved using a single pointer without dragging (unless dragging is essential). 
2.5.8 Target Size (Minimum),Pointer input target sizes are at least 24 by 24 pixels unless:A 24 pixel diameter circle centered on the target element does not intersect with any other target or a 24 pixel circle centered on an adjacent target.The functionality can be achieved in some other conformant manner.The target is in a sentence or list.The target size can't be modified or is essential to the functionality. 
3.1.1 Language of Page,"The language of the page is identified using the lang attribute (e.g., <html lang=""en"">). "
3.1.2 Language of Parts,"The language of page content that is in a different language is identified using the lang attribute (e.g., <blockquote lang=""es"">). "
3.1.3 Unusual Words,"Words that may be ambiguous, unfamiliar, or used in a very specific way are defined through adjacent text, a definition list, a glossary, or other suitable method. "
3.1.4 Abbreviations,"The meaning of an unfamiliar abbreviation is provided by expanding it the first time it is used, using the <abbr> element, or linking to a definition or glossary. "
3.1.5 Reading Level,A more understandable alternative is provided for content that is more advanced than can be reasonably read by a person with roughly 9 years of primary education. 
3.1.6 Pronunciation,"If the pronunciation of a word is vital to understanding that word, its pronunciation is provided immediately following the word or via a link or glossary. "
3.2.1 On Focus,"When a page element receives focus, it does not result in a substantial change to the page, the spawning of a pop-up window, an additional change of keyboard focus, or any other change that could confuse or disorient the user. "
3.2.2 On Input,"When a user inputs information or interacts with a control, it does not result in a substantial change to the page, the spawning of a pop-up window, an additional change of keyboard focus, or any other change that could confuse or disorient the user unless the user is informed of the change ahead of time. "
3.2.3 Consistent Navigation,Navigation links that are repeated on web pages do not change order when navigating through the site. 
3.2.4 Consistent Identification,"Elements that have the same functionality across multiple web pages are consistently identified. For example, a search box at the top of the site should always be labeled the same way. "
3.2.5 Change on Request,"Substantial changes to the page, the spawning of pop-up windows, uncontrolled changes of keyboard focus, or any other change that could confuse or disorient the user must be initiated by the user. Alternatively, the user is provided an option to disable such changes. "
3.2.6 Consistent Help,Contact and self-help details or functionality are presented consistently when present on multiple web pages. 
3.3.1 Error Identification,"Required inputs or inputs that require a specific format, value, or length provide this information within the element's label.Form validation errors are efficient, intuitive, and accessible. The error is clearly identified, quick access to the problematic element is provided, and the user can easily fix the error and resubmit the form. "
3.3.2 Labels or Instructions,"Sufficient labels, cues, and instructions for required interactive elements are provided via instructions, examples, properly positioned input labels, or fieldsets/legends. "
3.3.3 Error Suggestion,"If an input error is detected (via client-side or server-side validation), suggestions are provided for fixing the input in a timely and accessible manner. "
"3.3.4 Error Prevention (Legal, Financial, Data)","If the user can change or delete legal, financial, or test data, the changes/deletions can be reversed, verified, or confirmed. "
3.3.5 Help,Instructions and cues are provided in context to help in form completion and submission. 
3.3.6 Error Prevention (All),"If the user can submit information, the submission is reversible, verified, or confirmed. "
3.3.7 Redundant Entry,"Information that a user must re-enter to complete a single-session process must be auto-populated or available for the user to select, unless re-entering the information is essential to the functionality, the information poses security issues, or the previously-entered information is no longer valid. "
3.3.8 Accessible Authentication (Minimum),"A cognitive function test (such as remembering a password or solving a puzzle) is not required for any step in an authentication process unless the cognitive function test can be bypassed in some way, can be completed with assistance by some other mechanism, uses object recognition (such as ""click on the photo of a flower""), or uses identification of non-text content provided by the user (such as a user-provided image). "
3.3.9 Accessible Authentication (Enhanced),A cognitive function test (such as remembering a password or solving a puzzle) is not required for any step in an authentication process unless the cognitive function test can be bypassed in some way or can be completed with assistance by some other mechanism. 
4.1.1 Parsing (Obsolete and removed),NOTE: This success criterion is no longer useful and as of 2023 has been removed from WCAG. It previously required that significant HTML validation/parsing errors be avoided. 
"4.1.2 Name, Role, Value","Markup is used in a way that facilitates accessibility. This includes following the HTML specifications and using forms, input labels, frame titles, etc. appropriately.ARIA is used appropriately to enhance accessibility when HTML is not sufficient. "
4.1.3 Status Messages,"If an important status message is presented and focus is not set to that message, the message must be announced to screen reader users, typically via an ARIA alert or live region. "
