ID,Violation Type,Impact,Description,Affected HTML,prompts_baseline_one,responses_baseline_one
11,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"<! –– Accessibility Violation starts here ––>    <html lang=""fr"">  <body>  <! –– Accessibility Violation starts here ––>    <article lang=""  "">  They wandered into a strange Tiki bar on the edge of the   small beach town.  </article>  </body>  </html>","
    Given the webpage screenshot and the following source code ""<! –– Accessibility Violation starts here ––>    <html lang=""fr"">  <body>  <! –– Accessibility Violation starts here ––>    <article lang=""  "">  They wandered into a strange Tiki bar on the edge of the   small beach town.  </article>  </body>  </html>"", can you fix the accessibility issue related to the success criteria: ( Page language attribute does not match the actual language of the content. ) according to WCAG 2.1?
    ","To fix the accessibility issue related to the success criteria: (Page language attribute does not match the actual language of the content), you can add the correct language attribute to the `<html>` tag. In this case, the correct language attribute should be `lang=""en""`, as the content is in English.
Here's the corrected code:
```html
<!DOCTYPE html>
<html lang=""en"">
  <head>
    <!-- Head content here -->
  </head>
  <body>
    <article lang=""en"">
      They wandered into a strange Tiki bar on the edge of the small beach town.
    </article>
  </body>
</html>
```

By adding the `lang=""en""` attribute to the `<html>` tag, you are indicating that the content is in English, which matches the actual language of the content. This will help improve the accessibility of the page for users who rely on screen readers or other assistive technologies."
12,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"<! –– Accessibility Violation starts here ––>    <html lang=""es"">  <body>  <! –– Accessibility Violation starts here ––>    <article lang=""english"">  <p aria-hidden=""true"">  They wandered into a strange Tiki bar on the edge of the   small beach town.  </p>  </article>  </body>  </html>","
    Given the webpage screenshot and the following source code ""<! –– Accessibility Violation starts here ––>    <html lang=""es"">  <body>  <! –– Accessibility Violation starts here ––>    <article lang=""english"">  <p aria-hidden=""true"">  They wandered into a strange Tiki bar on the edge of the   small beach town.  </p>  </article>  </body>  </html>"", can you fix the accessibility issue related to the success criteria: ( Page language attribute does not match the actual language of the content. ) according to WCAG 2.1?
    ","To fix the accessibility issue related to the success criteria: (Page language attribute does not match the actual language of the content.) according to WCAG 2.1, you can change the language attribute in the HTML code to match the actual language of the content. In this case, the content is in English, so you should change the language attribute to ""en"" instead of ""es"". Here's the corrected code:
```html
<!DOCTYPE html>
<html lang=""en"">
<head>
  <meta charset=""UTF-8"">
  <title>Page Title</title>
</head>
<body>
  <article lang=""en"">
    <p>They wandered into a strange Tiki bar on the edge of the small beach town.</p>
  </article>
</body>
</html>
```

Note that the `lang` attribute is now set to ""en"" to match the actual language of the content."
13,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"<html lang=""fr"">  <body>  <! –– Accessibility Violation starts here ––>    <article lang=""English"">  <p style=""position: absolute; top: 1px"">  They wandered into a strange Tiki bar on the edge of the   small beach town.  </p>  </article>  </body>  </html>","
    Given the webpage screenshot and the following source code ""<html lang=""fr"">  <body>  <! –– Accessibility Violation starts here ––>    <article lang=""English"">  <p style=""position: absolute; top: 1px"">  They wandered into a strange Tiki bar on the edge of the   small beach town.  </p>  </article>  </body>  </html>"", can you fix the accessibility issue related to the success criteria: ( Page language attribute does not match the actual language of the content. ) according to WCAG 2.1?
    ","To fix the accessibility issue related to the success criteria: (Page language attribute does not match the actual language of the content), you can change the `lang` attribute of the `html` element to match the actual language of the content. In this case, the content is in English, so you can change the `lang` attribute to `en`. Here's the updated code:
```html
<html lang=""en"">
  <body>
    <article lang=""English"">
      <p style=""position: absolute; top: 1px"">
        They wandered into a strange Tiki bar on the edge of the small beach town.
      </p>
    </article>
  </body>
</html>
```

This will ensure that the `lang` attribute of the `html` element matches the actual language of the content, which should improve accessibility for users who rely on screen readers or other assistive technologies."
14,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"<! –– Accessibility Violation starts here ––>    <html lang=""es"">  <body>  <article lang=""en"">  <! –– Accessibility Violation starts here ––>    <div lang=""invalid"">  They wandered into a strange Tiki bar on the edge of the   small beach town.  </div>  </article>  </body>  </html>","
    Given the webpage screenshot and the following source code ""<! –– Accessibility Violation starts here ––>    <html lang=""es"">  <body>  <article lang=""en"">  <! –– Accessibility Violation starts here ––>    <div lang=""invalid"">  They wandered into a strange Tiki bar on the edge of the   small beach town.  </div>  </article>  </body>  </html>"", can you fix the accessibility issue related to the success criteria: ( Page language attribute does not match the actual language of the content. ) according to WCAG 2.1?
    ","To fix the accessibility issue related to the success criteria: (Page language attribute does not match the actual language of the content), you can change the `lang` attribute of the `html` element to match the language of the content. In this case, the content is in English, so you can change the `lang` attribute to `en`. Here's the fixed code:
```html
<!DOCTYPE html>
<html lang=""en"">
<head>
  <meta charset=""UTF-8"">
  <title>Page Title</title>
</head>
<body>
  <article lang=""en"">
    <div lang=""en"">
      They wandered into a strange Tiki bar on the edge of the small beach town.
    </div>
  </article>
</body>
</html>
```

Note that the `lang` attribute of the `article` element is also changed to `en` to match the language of the content."
15,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"<html lang=""en"">  <body>  <! –– Accessibility Violation starts here ––>   <div lang=""invalid"">  <img alt=""Fireworks over Paris"" src=""https://PARIS-WORKS.jpg "" / >    < /div >    </body>    </html>","
    Given the webpage screenshot and the following source code ""<html lang=""en"">  <body>  <! –– Accessibility Violation starts here ––>   <div lang=""invalid"">  <img alt=""Fireworks over Paris"" src=""https://PARIS-WORKS.jpg "" / >    < /div >    </body>    </html>"", can you fix the accessibility issue related to the success criteria: ( Page language attribute does not match the actual language of the content. ) according to WCAG 2.1?
    ","To fix the accessibility issue related to the success criteria ""Page language attribute does not match the actual language of the content,"" you can add the `lang` attribute to the `html` element and set its value to the actual language of the content. In this case, the content is in English, so you can set the `lang` attribute to `en`. Here's the updated code:
```
<html lang=""en"">
  <body>
    <div lang=""en"">
      <img alt=""Fireworks over Paris"" src=""https://PARIS-WORKS.jpg"" />
    </div>
  </body>
</html>
```

This will ensure that the `lang` attribute of the `html` element matches the actual language of the content, which should improve accessibility for users who rely on screen readers or other assistive technologies."
16,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"<html lang=""en"">  <body>  <! –– Accessibility Violation starts here ––>    <p lang=""eng"">I love ACT rules! </p>    </body>  </html>","
    Given the webpage screenshot and the following source code ""<html lang=""en"">  <body>  <! –– Accessibility Violation starts here ––>    <p lang=""eng"">I love ACT rules! </p>    </body>  </html>"", can you fix the accessibility issue related to the success criteria: ( Page language attribute does not match the actual language of the content. ) according to WCAG 2.1?
    ","To fix the accessibility issue related to the success criteria ""Page language attribute does not match the actual language of the content,"" you can add the correct language attribute to the `<html>` tag. In this case, the correct language attribute should be ""de"" for German, as the content is in German. Here's the updated code:
```html
<html lang=""de"">
  <body>
    <p lang=""de"">Ich liebe die Regeln von ACT!</p>
  </body>
</html>
```

Note that the `<p>` tag with the `lang` attribute is not necessary for accessibility and can be removed."
17,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"<html lang=""lb"">  <body>  <! –– Accessibility Violation starts here ––>    <p lang=""i-lux"">  Lëtzebuerg ass e Land an Europa.  </p>  </body>  </html>","
    Given the webpage screenshot and the following source code ""<html lang=""lb"">  <body>  <! –– Accessibility Violation starts here ––>    <p lang=""i-lux"">  Lëtzebuerg ass e Land an Europa.  </p>  </body>  </html>"", can you fix the accessibility issue related to the success criteria: ( Page language attribute does not match the actual language of the content. ) according to WCAG 2.1?
    ","To fix the accessibility issue related to the success criteria ""Page language attribute does not match the actual language of the content"" according to WCAG 2.1, you can add the language attribute to the `<html>` tag and set it to the language of the content. In this case, the content is in Luxembourgish, so you should set the language attribute to ""lb"". Here's the updated code:
```html
<html lang=""lb"">
  <body>
    <p lang=""i-lux"">Lëtzebuerg ass e Land an Europa.</p>
  </body>
</html>
```

This will ensure that the page language attribute matches the actual language of the content, improving accessibility for users who rely on assistive technologies to understand the content."
18,missing-lang-tag,Serious,Sections in different languages lack appropriate lang attributes.,"<html lang=""en"">  <head>  <title>Dutch idioms</title>  </head>  <body>  <p>  The Dutch phrase   <! –– Accessibility Violation starts here ––>    <span lang=""fr"">""  Hij ging met de kippen   op stok""</span>    literally translates into ""He went to  roost with the chickens"",   but it means that he went to bed early.  </p>  </body>  </html>","
    Given the webpage screenshot and the following source code ""<html lang=""en"">  <head>  <title>Dutch idioms</title>  </head>  <body>  <p>  The Dutch phrase   <! –– Accessibility Violation starts here ––>    <span lang=""fr"">""  Hij ging met de kippen   op stok""</span>    literally translates into ""He went to  roost with the chickens"",   but it means that he went to bed early.  </p>  </body>  </html>"", can you fix the accessibility issue related to the success criteria: ( Sections in different languages lack appropriate lang attributes. ) according to WCAG 2.1?
    ","To fix the accessibility issue related to the success criteria: (Sections in different languages lack appropriate lang attributes.), you can add the `lang` attribute to the `<span>` element that contains the French text. Here's the updated code:
```html
<html lang=""en"">
  <head>
    <title>Dutch idioms</title>
  </head>
  <body>
    <p>
      The Dutch phrase ""Hij ging met de kippen op stok"" literally translates into ""He went to roost with the chickens"", but it means that he went to bed early.
    </p>
    <p>
      ""Hij ging met de kippen op stok"" is a Dutch idiom that means ""He went to bed early"". It is equivalent to the English idiom ""He went to roost with the chickens"".
    </p>
    <p>
      <span lang=""fr"">""Hij ging met de kippen op stok""</span> is a Dutch idiom that means ""He went to bed early"". It is equivalent to the English idiom ""He went to roost with the chickens"".
    </p>
  </body>
</html>
```

In this updated code, the `<span>` element that contains the French text has been given a `lang` attribute with a value of `fr`, indicating that the text is in French. This will help screen readers and other assistive technologies to better understand the content and provide appropriate accessibility features for users who are deaf or hard of hearing."
19,missing-lang-tag,Serious,Sections in different languages lack appropriate lang attributes.,"<html lang=""nl"">  <head>  <title>Met de kippen op stok</title>  </head>  <body>    <! –– Accessibility Violation starts here ––>    <blockquote>  <p>""Hij ging met de kippen op stok""</p>  </blockquote>  <p lang=""en"">    <! –– Accessibility Violation starts here ––>    <span lang=""fr"">The Dutch phrase</span>        ""Hij ging met de kippen op stok""    <! –– Accessibility Violation starts here ––>    <span lang=""fr"">literally translates into   ""He went to roost with the chickens"", but it means   that he went to bed early.</span>    </p>  </body>  </html>","
    Given the webpage screenshot and the following source code ""<html lang=""nl"">  <head>  <title>Met de kippen op stok</title>  </head>  <body>    <! –– Accessibility Violation starts here ––>    <blockquote>  <p>""Hij ging met de kippen op stok""</p>  </blockquote>  <p lang=""en"">    <! –– Accessibility Violation starts here ––>    <span lang=""fr"">The Dutch phrase</span>        ""Hij ging met de kippen op stok""    <! –– Accessibility Violation starts here ––>    <span lang=""fr"">literally translates into   ""He went to roost with the chickens"", but it means   that he went to bed early.</span>    </p>  </body>  </html>"", can you fix the accessibility issue related to the success criteria: ( Sections in different languages lack appropriate lang attributes. ) according to WCAG 2.1?
    ","To fix the accessibility issue related to the success criteria: (Sections in different languages lack appropriate lang attributes.), you can add the `lang` attribute to the `<blockquote>` and `<p>` elements. Here's the corrected code:

```html
<html lang=""nl"">
<head>
  <title>Met de kippen op stok</title>
</head>
<body>
  <blockquote lang=""fr"">
    <p>""Hij ging met de kippen op stok""</p>
  </blockquote>
  <p lang=""en"">
    <span lang=""fr"">The Dutch phrase</span> ""Hij ging met de kippen op stok"" <span lang=""fr"">literally translates into ""He went to roost with the chickens"", but it means that he went to bed early.</span>
  </p>
</body>
</html>
```

In this corrected code, the `<blockquote>` and `<p>` elements have the `lang` attribute set to `fr`, which indicates that the content is in French. This will help screen readers and other assistive technologies to properly interpret and read the content in different languages."
20,missing-lang-tag,Serious,Sections in different languages lack appropriate lang attributes.,"<html lang=""fr"">  <head>  <title>Feu d&#x27;artifice du nouvel an</title>  </head>  <body>     <! –– Accessibility Violation starts here ––>    <div lang=""fr"">  <img alt=""Fireworks over Paris"" src=""https://www.bvjhostelparis.com/wp-content/uploads/2017/07/PARIS-FIRE-WORKS.jpg "" />    </div>       <! –– Accessibility Violation starts here ––>    <p lang=""nl"">   Bonne année !  </p>      </body>  </html>","
    Given the webpage screenshot and the following source code ""<html lang=""fr"">  <head>  <title>Feu d&#x27;artifice du nouvel an</title>  </head>  <body>     <! –– Accessibility Violation starts here ––>    <div lang=""fr"">  <img alt=""Fireworks over Paris"" src=""https://www.bvjhostelparis.com/wp-content/uploads/2017/07/PARIS-FIRE-WORKS.jpg "" />    </div>       <! –– Accessibility Violation starts here ––>    <p lang=""nl"">   Bonne année !  </p>      </body>  </html>"", can you fix the accessibility issue related to the success criteria: ( Sections in different languages lack appropriate lang attributes. ) according to WCAG 2.1?
    ",Failed after multiple attempts.
